Common Name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,GIC Decision
Beluga Whale,St. Lawrence Estuary population,Endangered,28/11/14,Delphinapterus leucas,Beluga Whale,St. Lawrence Estuary population,Endangered,Schedule 1,14/07/05,"Atlantic Ocean, Quebec",Mammals (marine),,Uplist
Beluga Whale,Ungava Bay population,Endangered,04/11/20,Delphinapterus leucas,Beluga Whale,Ungava Bay population,No Status,No schedule,,"Arctic Ocean, Atlantic Ocean, Quebec",Mammals (marine),Addition,Pending
Beluga Whale,Western Hudson Bay population,Not at Risk,04/11/20,Delphinapterus leucas,,,No Status,No schedule,,"Nunavut, Arctic Ocean, Atlantic Ocean, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Mammals (marine),,
Beluga Whale,"Western Hudson Bay population, original designation",Non-active,01/05/04,Delphinapterus leucas,Beluga Whale,"Western Hudson Bay population, original designation",No Status,No schedule,,"Nunavut, Arctic Ocean, Atlantic Ocean, Manitoba, Ontario",Mammals (marine),,
Beluga Whale,"Western Hudson Bay population, 2004 designation",Non-active,04/11/20,Delphinapterus leucas,Beluga Whale,Western Hudson Bay population,No Status,No schedule,,"Nunavut, Arctic Ocean, Atlantic Ocean, Manitoba, Ontario",Mammals (marine),,Not listed for further consideration
Bent Spike-rush,Great Lakes Plains population,Endangered,26/04/09,Eleocharis geniculata,Bent Spike-rush,Great Lakes Plains population,Endangered,Schedule 1,04/02/11,Ontario,Vascular Plants,,Add
Bent Spike-rush,Southern Mountain population,Endangered,26/04/09,Eleocharis geniculata,Bent Spike-rush,Southern Mountain population,Endangered,Schedule 1,04/02/11,British Columbia,Vascular Plants,,Add
Bering Cisco,,Special Concern,01/11/17,Coregonus laurettae,Bering Cisco,,No Status,No schedule,,Yukon,Fishes (freshwater),Addition,Pending
Bering Wolffish,,Data Deficient,01/11/02,Anarhichas orientalis,Bering Wolffish,,Special Concern,,,Arctic Ocean,Fishes (marine),,
Bert's Predaceous Diving Beetle,,Endangered,27/11/09,Sanfilippodytes bertae,Bert's Predaceous Diving Beetle,,Endangered,Schedule 1,20/06/12,Alberta,Arthropods,,Add
Bicknell's Thrush,,Threatened,27/11/09,Catharus bicknelli,Bicknell's Thrush,,Threatened,Schedule 1,20/06/12,"Quebec, New Brunswick, Nova Scotia",Birds,,Add
Big Skate,,Not at Risk,22/04/07,Raja binoculata,,,No Status,No schedule,,Pacific Ocean,Fishes (marine),,
Bigmouth Buffalo,,Non-active,25/04/08,Ictiobus cyprinellus,Bigmouth Buffalo,,No Status,No schedule,,"Saskatchewan, Manitoba, Ontario",Fishes (freshwater),,
Bigmouth Buffalo,Great Lakes - Upper St. Lawrence populations,Not at Risk,25/04/08,Ictiobus cyprinellus,,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Bigmouth Buffalo,Saskatchewan - Nelson River populations,Special Concern,26/04/09,Ictiobus cyprinellus,Bigmouth Buffalo,Saskatchewan - Nelson River populations,Special Concern,Schedule 1,23/06/11,"Saskatchewan, Manitoba",Fishes (freshwater),,Add
Bigmouth Shiner,,Not at Risk,01/11/03,Notropis dorsalis,Bigmouth Shiner,,Special Concern,,,Manitoba,Fishes (freshwater),,
Bird's-foot Violet,,Endangered,01/05/02,Viola pedata,Bird's-foot Violet,,Endangered,Schedule 1,12/01/05,Ontario,Vascular Plants,,Add
Black Ash,,Threatened,01/11/18,Fraxinus nigra,Black Ash,,No Status,No schedule,,"Prince Edward Island, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Vascular Plants,Addition,Pending
Black Buffalo,,Data Deficient,22/04/07,Ictiobus niger,Black Buffalo,,Special Concern,,,Ontario,Fishes (freshwater),,
Black Hills Mountainsnail,,Endangered,05/05/21,Oreohelix cooperi,Black Hills Mountainsnail,,No Status,No schedule,,"Alberta, Saskatchewan",Molluscs,Addition,Pending
Black Redhorse,,Threatened,01/05/15,Moxostoma duquesnei,Black Redhorse,,Threatened,Schedule 1,08/08/19,Ontario,Fishes (freshwater),,Add
Black Swift,,Endangered,01/05/15,Cypseloides niger,Black Swift,,Endangered,Schedule 1,22/05/19,"British Columbia, Alberta",Birds,,Add
Black Tern,,Not at Risk,01/04/96,Chlidonias niger,,,No Status,No schedule,,"British Columbia, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Birds,,
Black-foam Lichen,,Threatened,01/05/15,Anzia colpodes,Black-foam Lichen,,Threatened,Schedule 1,25/02/19,"Ontario, Quebec, New Brunswick, Nova Scotia",Lichens,,Add
Black-footed Albatross,,Special Concern,22/04/07,Phoebastria nigripes,Black-footed Albatross,,Special Concern,Schedule 1,05/03/09,Pacific Ocean,Birds,,Add
Black-footed Ferret,,Extirpated,01/12/21,Mustela nigripes,Black-footed Ferret,,Extirpated,Schedule 1,05/06/03,"Alberta, Saskatchewan",Mammals (terrestrial),,
