Common Name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,GIC Decision
Golden Paintbrush,,Endangered,30/11/07,Castilleja levisecta,Golden Paintbrush,,Endangered,Schedule 1,05/06/03,British Columbia,Vascular Plants,,
Golden Redhorse,,Not at Risk,01/04/89,Moxostoma erythrurum,,,No Status,No schedule,,"Manitoba, Ontario",Fishes (freshwater),,
Golden-eye Lichen,Great Lakes population,Endangered,27/11/16,Teloschistes chrysophthalmus,Golden-eye Lichen,Great Lakes population,Endangered,Schedule 1,12/08/21,Ontario,Lichens,,Add
Golden-eye Lichen,Prairie / Boreal population,Special Concern,27/11/16,Teloschistes chrysophthalmus,Golden-eye Lichen,Prairie / Boreal population,Special Concern,Schedule 1,12/08/21,"Manitoba, Ontario",Lichens,,Add
Golden-winged Warbler,,Threatened,29/04/06,Vermivora chrysoptera,Golden-winged Warbler,,Threatened,Schedule 1,13/12/07,"Manitoba, Ontario, Quebec",Birds,,Add
Goldencrest,,Special Concern,04/05/12,Lophiola aurea,Goldencrest,,Special Concern,Schedule 1,05/06/03,Nova Scotia,Vascular Plants,,Downlist
Goldenseal,,Special Concern,03/05/19,Hydrastis canadensis,Goldenseal,,Threatened,Schedule 1,05/06/03,Ontario,Vascular Plants,Status change,Pending
Grand Coulee Owl-clover,,Endangered,05/05/05,Orthocarpus barbatus,Grand Coulee Owl-clover,,Endangered,Schedule 1,15/08/06,British Columbia,Vascular Plants,,Add
Grappletail,,Special Concern,05/05/21,Octogomphus specularis,Grappletail,,No Status,No schedule,,British Columbia,Arthropods,Addition,Pending
Grass Pickerel,,Special Concern,28/11/14,Esox americanus  vermiculatus,Grass Pickerel,,Special Concern,Schedule 1,15/08/06,"Ontario, Quebec",Fishes (freshwater),,Add
"Grasshopper Sparrow, pratensis subspecies",,Special Concern,01/11/13,Ammodramus savannarum  pratensis,"Grasshopper Sparrow, pratensis subspecies",,Special Concern,Schedule 1,02/11/17,"Ontario, Quebec",Birds,,Add
Gravel Chub,,Extirpated,03/05/19,Erimystax x-punctatus,Gravel Chub,,Extirpated,Schedule 1,05/06/03,Ontario,Fishes (freshwater),,
Gray Ratsnake,,Non-active,22/04/07,Pantherophis spiloides,Gray Ratsnake,,No Status,No schedule,05/06/03,Ontario,Reptiles,,Struck
Gray Ratsnake,Carolinian population,Endangered,27/04/18,Pantherophis spiloides,Gray Ratsnake,Carolinian population,Endangered,Schedule 1,05/06/03,Ontario,Reptiles,,Uplist
Gray Ratsnake,Great Lakes / St. Lawrence population,Threatened,27/04/18,Pantherophis spiloides,Gray Ratsnake,Great Lakes / St. Lawrence population,Threatened,Schedule 1,05/06/03,Ontario,Reptiles,,
Gray's Desert-parsley,,Threatened,28/11/08,Lomatium grayi,Gray's Desert-parsley,,Threatened,Schedule 1,04/02/11,British Columbia,Vascular Plants,,Add
Great Auk,,Extinct,01/05/00,Pinguinus impennis,,,No Status,No schedule,,"Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Great Basin Gophersnake,,Threatened,03/05/13,Pituophis catenifer  deserticola,Great Basin Gophersnake,,Threatened,Schedule 1,12/01/05,British Columbia,Reptiles,,Add
Great Basin Spadefoot,,Threatened,29/11/19,Spea intermontana,Great Basin Spadefoot,,Threatened,Schedule 1,05/06/03,British Columbia,Amphibians,,
Great Blue Heron fannini subspecies,,Special Concern,25/04/08,Ardea herodias  fannini,Great Blue Heron fannini subspecies,,Special Concern,Schedule 1,23/02/10,British Columbia,Birds,,Add
Great Grey Owl,,Not at Risk,01/04/96,Strix nebulosa,,,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec",Birds,,
Great Plains Toad,,Special Concern,25/04/10,Anaxyrus cognatus,Great Plains Toad,,Special Concern,Schedule 1,12/01/05,"Alberta, Saskatchewan, Manitoba",Amphibians,,Add
Greater Prairie-Chicken,,Extirpated,01/12/21,Tympanuchus cupido  pinnatus,Greater Prairie-Chicken,,Extirpated,Schedule 1,05/06/03,"Alberta, Saskatchewan, Manitoba, Ontario",Birds,,
Greater Sage-Grouse phaios subspecies,,Extirpated,01/12/21,Centrocercus urophasianus  phaios,Greater Sage-Grouse phaios subspecies,,Extirpated,Schedule 1,05/06/03,British Columbia,Birds,,
Greater Sage-Grouse urophasianus subspecies,,Endangered,01/12/21,Centrocercus urophasianus  urophasianus,Greater Sage-Grouse urophasianus subspecies,,Endangered,Schedule 1,05/06/03,"Alberta, Saskatchewan",Birds,,
Greater Short-horned Lizard,,Special Concern,01/11/18,Phrynosoma hernandesi,Greater Short-horned Lizard,,Endangered,Schedule 1,05/03/09,"Alberta, Saskatchewan",Reptiles,Status change,Pending
Green Dragon,,Special Concern,01/04/84,Arisaema dracontium,Green Dragon,,Special Concern,,,"Ontario, Quebec",Vascular Plants,,
Green Sturgeon,,Special Concern,01/11/13,Acipenser medirostris,Green Sturgeon,,Special Concern,Schedule 1,15/08/06,"British Columbia, Pacific Ocean",Fishes (freshwater),,Add
Green Sunfish,,Not at Risk,01/04/87,Lepomis cyanellus,,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Green-scaled Willow,,Threatened,04/11/20,Salix chlorolepis,Green-scaled Willow,,Threatened,Schedule 1,13/12/07,Quebec,Vascular Plants,,Add
Greenish-white Grasshopper,,Special Concern,25/11/12,Hypochlora alba,Greenish-white Grasshopper,,Special Concern,Schedule 1,02/02/18,"Alberta, Saskatchewan, Manitoba",Arthropods,,Add
Greenside Darter,,Not at Risk,24/11/06,Etheostoma blennioides,Greenside Darter,,Special Concern,,,Ontario,Fishes (freshwater),,
Grey Flycatcher,,Not at Risk,01/04/92,Empidonax wrightii,,,No Status,No schedule,,British Columbia,Birds,,
Gray Fox,,Threatened,26/11/15,Urocyon cinereoargenteus,Grey Fox,,Threatened,Schedule 1,12/01/05,Ontario,Mammals (terrestrial),,Add
Grey Seal,,Not at Risk,01/04/99,Halichoerus grypus,,,No Status,No schedule,,"Prince Edward Island, Atlantic Ocean, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Mammals (marine),,
Grey Whale,Atlantic population,Extirpated,27/11/09,Eschrichtius robustus,Grey Whale,Atlantic population,Extirpated,Schedule 1,05/06/03,Atlantic Ocean,Mammals (marine),,
Grey Whale,Eastern North Pacific population,Non-active,01/11/17,Eschrichtius robustus,Grey Whale,Eastern North Pacific population,Special Concern,Schedule 1,14/07/05,"British Columbia, Yukon, Northwest Territories, Arctic Ocean, Pacific Ocean",Mammals (marine),,Add
Grey Whale,Northern Pacific Migratory population,Not at Risk,01/11/17,Eschrichtius robustus,Grey Whale,Northern Pacific Migratory population,No Status,No schedule,14/07/05,"British Columbia, Yukon, Northwest Territories, Arctic Ocean, Pacific Ocean",Mammals (marine),Addition,Pending
Grey Whale,Pacific Coast Feeding Group population,Endangered,01/11/17,Eschrichtius robustus,Grey Whale,Pacific Coast Feeding Group population,No Status,No schedule,14/07/05,"British Columbia, Pacific Ocean",Mammals (marine),Addition,Pending
Grey Whale,Western Pacific population,Endangered,01/11/17,Eschrichtius robustus,Grey Whale,Western Pacific population,No Status,No schedule,,"British Columbia, Pacific Ocean",Mammals (marine),Addition,Pending
Griscom‰Ûªs Arnica,,Threatened,28/11/14,Arnica griscomii  ssp. griscomii,Griscom‰Ûªs Arnica,,Threatened,Schedule 1,25/02/19,"Quebec, Newfoundland and Labrador",Vascular Plants,,Add
Grizzly Bear,,Non-active,01/04/91,Ursus arctos,Grizzly Bear,,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta",Mammals (terrestrial),,
Grizzly Bear,Northwestern population,Non-active,04/05/12,Ursus arctos,Grizzly Bear,Northwestern population,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta",Mammals (terrestrial),,Not listed for further consideration
Grizzly Bear,Prairie population,Non-active,04/05/12,Ursus arctos,Grizzly Bear,Prairie population,No Status,No schedule,05/06/03,"Alberta, Saskatchewan, Manitoba",Mammals (terrestrial),,Struck
Grizzly Bear,Ungava population,Extinct,04/05/12,Ursus arctos,,,No Status,No schedule,,"Quebec, Newfoundland and Labrador",Mammals (terrestrial),,
Grizzly Bear,Western population,Special Concern,04/05/12,Ursus arctos,Grizzly Bear,Western population,Special Concern,Schedule 1,30/05/18,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba",Mammals (terrestrial),,Add
Gulf of St. Lawrence Aster,,Threatened,01/05/04,Symphyotrichum laurentianum,Gulf of St. Lawrence Aster,,Threatened,Schedule 1,14/07/05,"Prince Edward Island, Quebec, New Brunswick",Vascular Plants,,Add
Gypsy Cuckoo Bumble Bee,,Endangered,02/05/14,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,,Endangered,Schedule 1,30/05/18,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Arthropods,,Add
Gyrfalcon,,Not at Risk,01/04/87,Falco rusticolus,,,No Status,No schedule,,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Ontario, Quebec, Newfoundland and Labrador, Nova Scotia",Birds,,
Hadley Lake Benthic Threespine Stickleback,,Extinct,01/05/00,Gasterosteus aculeatus,,,No Status,No schedule,,British Columbia,Fishes (freshwater),,
Hadley Lake Limnetic Threespine Stickleback,,Extinct,01/05/00,Gasterosteus aculeatus,,,No Status,No schedule,,British Columbia,Fishes (freshwater),,
Haida Gwaii Slug,,Special Concern,03/05/13,Staala gwaii,Haida Gwaii Slug,,Special Concern,Schedule 1,02/02/18,British Columbia,Molluscs,,Add
Hairy Braya,,Endangered,03/05/13,Braya pilosa,Hairy Braya,,Endangered,Schedule 1,02/02/18,Northwest Territories,Vascular Plants,,Add
Hairy Paintbrush,,Endangered,03/05/19,Castilleja tenuis,Hairy Paintbrush,,No Status,No schedule,,British Columbia,Vascular Plants,Addition,Pending
Hairy Prairie-clover,,Special Concern,25/11/11,Dalea villosa,Hairy Prairie-clover,,Special Concern,Schedule 1,05/06/03,"Saskatchewan, Manitoba",Vascular Plants,,Downlist
Hairy Valerian,,Endangered,01/11/18,Valeriana edulis  ssp. ciliata,Hairy Valerian,,No Status,No schedule,,Ontario,Vascular Plants,Addition,Pending
Half-moon Hairstreak,,Endangered,29/04/06,Satyrium semiluna,Half-moon Hairstreak,,Endangered,Schedule 1,13/12/07,"British Columbia, Alberta",Arthropods,,Add
Haller's Apple Moss,,Threatened,25/11/11,Bartramia halleriana,Haller's Apple Moss,,Threatened,Schedule 1,05/06/03,"British Columbia, Alberta",Mosses,,
Harbour Porpoise,Northwest Atlantic population,Special Concern,29/04/06,Phocoena phocoena,Harbour Porpoise,Northwest Atlantic population,Threatened,,,Atlantic Ocean,Mammals (marine),,Pending
Harbour Porpoise,Pacific Ocean population,Special Concern,29/04/16,Phocoena phocoena  vomerina,Harbour Porpoise,Pacific Ocean population,Special Concern,Schedule 1,14/07/05,"British Columbia, Arctic Ocean, Pacific Ocean",Mammals (marine),,Add
Harbour Seal Atlantic and Eastern Arctic subspecies,,Not at Risk,30/11/07,Phoca vitulina  concolor,,,No Status,No schedule,,"Prince Edward Island, Nunavut, Arctic Ocean, Atlantic Ocean, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Mammals (marine),,
Harbour Seal Lacs des Loups Marins subspecies,,Endangered,27/04/18,Phoca vitulina  mellonae,Harbour Seal Lacs des Loups Marins subspecies,,Endangered,Schedule 1,13/04/17,Quebec,Mammals (marine),,Add
Harbour Seal Pacific subspecies,,Not at Risk,01/04/99,Phoca vitulina  richardsi,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Mammals (marine),,
Hare-footed Locoweed,,Threatened,02/05/14,Oxytropis lagopus,Hare-footed Locoweed,,Threatened,Schedule 1,02/02/18,Alberta,Vascular Plants,,Add
Harlequin Duck,Eastern population,Special Concern,01/11/13,Histrionicus histrionicus,Harlequin Duck,Eastern population,Special Concern,Schedule 1,05/06/03,"Nunavut, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Harris's Sparrow,,Special Concern,28/04/17,Zonotrichia querula,Harris's Sparrow,,No Status,No schedule,,"Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario",Birds,Addition,Pending
Heart-leaved Plantain,,Endangered,25/11/11,Plantago cordata,Heart-leaved Plantain,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Henslow's Sparrow,,Endangered,06/05/11,Ammodramus henslowii,Henslow's Sparrow,,Endangered,Schedule 1,05/06/03,"Ontario, Quebec",Birds,,
Hickorynut,,Endangered,06/05/11,Obovaria olivaria,Hickorynut,,Endangered,Schedule 1,08/08/19,"Ontario, Quebec",Molluscs,,Add
Hill's Pondweed,,Special Concern,05/05/05,Potamogeton hillii,Hill's Pondweed,,Special Concern,Schedule 1,15/08/06,Ontario,Vascular Plants,,Add
Hill's Thistle,,Threatened,01/11/04,Cirsium hillii,Hill's Thistle,,Threatened,Schedule 1,15/08/06,Ontario,Vascular Plants,,Add
Hine's Emerald,,Endangered,06/05/11,Somatochlora hineana,Hine's Emerald,,Endangered,Schedule 1,02/06/17,Ontario,Arthropods,,Add
Hoary Mountain-mint,,Endangered,25/11/11,Pycnanthemum incanum,Hoary Mountain-mint,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Hooded Seal,,Not at Risk,01/04/86,Cystophora cristata,,,No Status,No schedule,,"Arctic Ocean, Atlantic Ocean",Mammals (marine),,
Hooded Warbler,,Not at Risk,04/05/12,Setophaga citrina,Hooded Warbler,,No Status,No schedule,,Ontario,Birds,,Delist
Hoptree Borer,,Endangered,26/11/15,Prays atomocella,Hoptree Borer,,Endangered,Schedule 1,25/02/19,Ontario,Arthropods,,Add
Horned Grebe,Magdalen Islands population,Endangered,26/04/09,Podiceps auritus,Horned Grebe,Magdalen Islands population,Endangered,Schedule 1,04/02/11,Quebec,Birds,,Add
Horned Grebe,Western population,Special Concern,26/04/09,Podiceps auritus,Horned Grebe,Western population,Special Concern,Schedule 1,03/02/17,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario",Birds,,Add
Hornyhead Chub,,Not at Risk,01/04/88,Nocomis biguttatus,,,No Status,No schedule,,"Manitoba, Ontario",Fishes (freshwater),,
Horsetail Spike-rush,,Endangered,01/11/00,Eleocharis equisetoides,Horsetail Spike-rush,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,Add
Hotwater Physa,,Endangered,25/04/08,Physella wrighti,Hotwater Physa,,Endangered,Schedule 1,05/06/03,British Columbia,Molluscs,,
Houghton's Goldenrod,,Special Concern,05/05/05,Solidago houghtonii,Houghton's Goldenrod,,Special Concern,Schedule 1,15/08/06,Ontario,Vascular Plants,,Add
Howell's Triteleia,,Endangered,01/05/03,Triteleia howellii,Howell's Triteleia,,Endangered,Schedule 1,12/01/05,British Columbia,Vascular Plants,,Add
Hubbs' Beaked Whale,,Not at Risk,01/04/89,Mesoplodon carlhubbsi,,,No Status,No schedule,,Pacific Ocean,Mammals (marine),,
Hudsonian Godwit,,Threatened,03/05/19,Limosa haemastica,Hudsonian Godwit,,No Status,No schedule,,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,Addition,Pending
Humpback Whale,North Pacific population,Special Concern,06/05/11,Megaptera novaeangliae,Humpback Whale,North Pacific population,Special Concern,Schedule 1,05/06/03,Pacific Ocean,Mammals (marine),,Downlist
Humpback Whale,Western North Atlantic and North Pacific populations,Non-active,01/04/85,Megaptera novaeangliae,Humpback Whale,Western North Atlantic and North Pacific populations,No Status,No schedule,,"Arctic Ocean, Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Humpback Whale,Western North Atlantic population,Not at Risk,01/05/03,Megaptera novaeangliae,Humpback Whale,Western North Atlantic population,Special Concern,,,"Arctic Ocean, Atlantic Ocean",Mammals (marine),,
Hungerford's Crawling Water Beetle,,Endangered,06/05/11,Brychius hungerfordi,Hungerford's Crawling Water Beetle,,Endangered,Schedule 1,02/06/17,Ontario,Arthropods,,Add
Illinois Tick-trefoil,,Extirpated,01/05/00,Desmodium illinoense,Illinois Tick-trefoil,,Extirpated,Schedule 1,05/06/03,Ontario,Vascular Plants,,Add
Impoverished Pinweed,,Data Deficient,01/04/97,Lechea intermedia  var. depauperata,Impoverished Pinweed,,No Status,No schedule,,Saskatchewan,Vascular Plants,,
Incurved Grizzled Moss,,Extirpated,01/12/21,Ptychomitrium incurvum,Incurved Grizzled Moss,,Extirpated,Schedule 1,12/01/05,Ontario,Mosses,,Add
Island Blue,,Endangered,04/05/12,Plebejus saepiolus  insulanus,Island Blue,,Endangered,Schedule 1,05/06/03,British Columbia,Arthropods,,
Island Marble,,Extirpated,25/04/10,Euchloe ausonides  insulanus,Island Marble,,Extirpated,Schedule 1,05/06/03,British Columbia,Arthropods,,
Island Tiger Moth,,Threatened,03/05/13,Grammia complicata,Island Tiger Moth,,No Status,No schedule,,British Columbia,Arthropods,Addition,Pending
Ivory Gull,,Endangered,29/04/06,Pagophila eburnea,Ivory Gull,,Endangered,Schedule 1,05/06/03,"Northwest Territories, Nunavut, Newfoundland and Labrador",Birds,,Uplist
Jefferson Salamander,,Endangered,26/11/10,Ambystoma jeffersonianum,Jefferson Salamander,,Endangered,Schedule 1,05/06/03,Ontario,Amphibians,,Uplist
Juniper Sedge,,Endangered,01/05/00,Carex juniperorum,Juniper Sedge,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,Add
Karner Blue,,Extirpated,03/05/19,Plebejus samuelis,Karner Blue,,Extirpated,Schedule 1,05/06/03,Ontario,Arthropods,,
Keen's Long-eared Bat,,Data Deficient,01/11/03,Myotis keenii,Keen's Long-eared Bat,,Special Concern,,,British Columbia,Mammals (terrestrial),,
Kellogg's Rush,,Endangered,01/05/03,Juncus kelloggii,Kellogg's Rush,,Endangered,Schedule 1,12/01/05,British Columbia,Vascular Plants,,Add
Kentucky Coffee-tree,,Threatened,05/05/21,Gymnocladus dioicus,Kentucky Coffee-tree,,Threatened,Schedule 1,05/06/03,Ontario,Vascular Plants,,Add
Kidneyshell,,Endangered,03/05/13,Ptychobranchus fasciolaris,Kidneyshell,,Endangered,Schedule 1,12/01/05,Ontario,Molluscs,,Add
Killer Whale,North Pacific resident populations,Non-active,01/11/01,Orcinus orca,Killer Whale,North Pacific resident populations,No Status,No schedule,,Pacific Ocean,Mammals (marine),,
Killer Whale,Northeast Pacific northern resident population,Threatened,28/11/08,Orcinus orca,Killer Whale,Northeast Pacific northern resident population,Threatened,Schedule 1,05/06/03,Pacific Ocean,Mammals (marine),,
Killer Whale,Northeast Pacific offshore population,Threatened,28/11/08,Orcinus orca,Killer Whale,Northeast Pacific offshore population,Threatened,Schedule 1,05/06/03,Pacific Ocean,Mammals (marine),,Uplist
Killer Whale,Northeast Pacific southern resident population,Endangered,28/11/08,Orcinus orca,Killer Whale,Northeast Pacific southern resident population,Endangered,Schedule 1,05/06/03,Pacific Ocean,Mammals (marine),,
Killer Whale,Northeast Pacific transient population,Threatened,28/11/08,Orcinus orca,Killer Whale,Northeast Pacific transient population,Threatened,Schedule 1,05/06/03,Pacific Ocean,Mammals (marine),,
Killer Whale,Northwest Atlantic / Eastern Arctic population,Special Concern,28/11/08,Orcinus orca,Killer Whale,Northwest Atlantic / Eastern Arctic population,No Status,No schedule,,"Arctic Ocean, Atlantic Ocean",Mammals (marine),Addition,Pending
King Rail,,Endangered,06/05/11,Rallus elegans,King Rail,,Endangered,Schedule 1,05/06/03,Ontario,Birds,,
Kirtland's Warbler,,Endangered,25/04/08,Setophaga kirtlandii,Kirtland's Warbler,,Endangered,Schedule 1,05/06/03,Ontario,Birds,,
Kiyi,,Non-active,05/05/05,Coregonus kiyi,Kiyi,,Special Concern,,,Ontario,Fishes (freshwater),,
Labrador Duck,,Extinct,01/05/00,Camptorhynchus labradorius,,,No Status,No schedule,,"Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Lake Chub,Atlin Warm Springs populations,Threatened,01/11/18,Couesius plumbeus,Lake Chub,Atlin Warm Springs populations,No Status,No schedule,,British Columbia,Fishes (freshwater),Addition,Pending
